,desmat_prop,PIB per capita 2021,Índice de Progresso Social,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades
desmat_prop,,,,,,
PIB per capita 2021,,1.0,0.12964831990224363,0.12405581444561112,0.1330003994453243,0.005599862337443554
Índice de Progresso Social,,0.12964831990224363,1.0,0.7531148142151881,0.8083536284537081,0.5676373135521312
Necessidades Humanas Básicas,,0.12405581444561112,0.7531148142151881,1.0,0.42392963323809796,0.048040119195528454
Fundamentos do Bem-estar,,0.1330003994453243,0.8083536284537081,0.42392963323809796,1.0,0.3170101283382339
Oportunidades,,0.005599862337443554,0.5676373135521312,0.048040119195528454,0.3170101283382339,1.0
