CD_MUN,NM_MUN,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,total_km2,Município,UF,area_municipio_km2,População 2022,PIB per capita 2021,Índice de Progresso Social,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (Poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Assassinatos de Jovens,Assassinatos de Mulheres,Mortes por Acidente de Transporte,Homicídios,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Evasão no Ensino Médio,Distorção Idade-Série no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂ por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Taxa de Congestionamento Líquido de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19 anos),Praças e Parques em Áreas Urbanas,Trabalho Infantil,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência contra Indígenas,Violência contra Mulheres,Violência contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Média no Enem,desmat_prop
1500107,Abaetetuba,1.2474280281484698,3.000342717440129,3.844140793747497,0.8346893195308798,2.249779015025403,0.4245049517338636,0.2449733087721228,0.5886783777542467,0.3873467616328642,1.183829897113735,0.6428844449728373,0.3414687600796401,1.247750783592299,1.7021508127203318,0.4084894073009224,0.3156623067669734,0.0,Abaetetuba (PA),PA,1610.654,158188,12412.8959800996,51.53232823093862,52.8481845223945,61.2484354391399,40.50036473128186,66.4428453263365,30.8921859925088,65.2740642856619,48.7836424850708,63.5585116645928,54.0390111415389,60.4666089014458,66.9296100489822,41.37188089595411,42.0506948019299,49.7688961029466,28.8099871242969,58.4826534502478,1473.45720180255,130.866247065092,24.0619902120718,3.15546299375208,26.0072051958595,56.8783584375087,12.96,53.11,55.8199715851431,61.5714430688045,61.9545362289426,73.0464785873757,81.2182741116751,3.80271513860897,13.2753432624472,36.6652337724733,1.7,6.8,8.7,33.9,4.15,8.2,73.2113649116046,7.0062601229069,57.6244928672438,92.0033484848485,72.89,1.97188403549391,412.585696210258,22.5332186215467,8.85022884163148,5.21436128228006,2.47850433616245,4.55154626141047,51.14,13.00946182,6.0,10.0,91.014938489,74.24788662357041,6.0,16.0277324632953,1.33814790312792,21.5919879942421,0.267352845487234,0.82378004715729,120.481927710843,220.55747803932,113.243158225857,36.4727709265524,54.9448166699191,528.559271523179,0.0
1500131,Abel Figueiredo,2.026110911025645,0.9616485839339152,1.6634622126530365,0.4348296570811443,0.0,0.345509499365152,0.4304383135885296,0.1652034724714236,0.5042437283955065,0.2413883206943982,0.9414592945806962,4.060408969532312,1.1994541684307207,2.0743742642571403,2.7272195604507767,1.4751070011558178,0.0,Abel Figueiredo (PA),PA,614.131,6136,15116.0911522048,51.06326812103605,66.2291440801379,53.6883218362085,33.27233844676228,64.4383321619433,70.6287315741763,92.0615458290502,37.7879667553817,55.0637088493139,61.1337792305183,51.8716762084908,46.684123056511,27.39140295220509,24.5978111437915,57.0736285507315,24.0265111403211,69.6969696969697,981.953290870488,176.215224456579,21.9298876844148,4.91591203104787,91.5739268680445,24.977293369664,89.0,59.83,83.5453100158983,92.845786963434,90.1430842607313,95.6279809220986,49.7512437810945,11.0558319513543,16.2972620599739,65.1890482398957,1.4,3.7,12.8,50.4,4.65,35.9,93.7677856043522,0.065733831528888,77.539945419904,91.6079681818183,73.0,3.5020694046482,447.068078952287,18.7093546773387,32.5945241199478,0.34001203766392,44.4395596329327,46.9416785206259,52.2,39.45599665,6.0,0.0,100.58517555,67.09210806211439,2.0,30.0970873786408,1.12625068463727,0.0,0.451060388870511,0.835588403429971,0.0,231.558054912339,156.25,30.7005302818867,49.1071428571429,495.916,0.0
1500206,Acará,47.965126127383215,12.089468232373951,30.201962240752664,15.057947408957787,4.836097353963607,18.267402069818115,5.876264380750653,7.029938847781538,7.127193651908292,18.601928164687827,16.819036314031262,18.28110098109033,15.727933819807395,10.374668444381214,5.735874369369799,8.40379602454128,0.0,Acará (PA),PA,4344.384,59023,24463.4144655473,48.74732105619347,51.916865837495,48.0556782940177,46.26941903706784,68.9178915323553,29.7864575695159,64.1332803539198,44.8298338941888,43.4702969350136,39.9825247238547,60.2662451333923,48.5036463838101,50.61677714494274,25.172385742564,83.1265653320357,26.1619479287289,61.530612244898,948.981056257176,134.626023223676,22.2929936305732,3.79684418145957,26.0294040705279,19.4013303769402,13.72,28.0,21.8123790090514,42.7405430858578,78.742217338984,84.5183906241825,69.9478570520158,3.51222253441978,23.7195669484777,42.3563695508531,5.0,17.9,22.3,60.5,4.5,12.0,47.5350483598851,0.489287154286328,30.8288036869892,91.8871666666666,70.44,2.20528007056896,358.194682932877,20.5957521811933,3.38850956406824,1.48973768026463,24.5556697967811,76.8493508756644,55.34,39.71532763,15.0,7.0,72.20149253700001,76.5832997176281,3.0,25.583864118896,0.0,6.7711859992708,0.478389024574751,0.937699911738747,0.0,7.02444506883956,58.8027754910032,37.2879229780161,49.8232290166296,502.152631578947,0.0
1500305,Afuá,0.1338223466989012,0.0,1.7353576127337091,0.0,0.1508286661755466,0.0740716659199846,0.1721341382147238,0.0,0.0,0.1207818624892199,0.0,0.1079947130326732,0.0,0.0,0.1649192731651523,0.2725218117893382,0.0,Afuá (PA),PA,8338.438,37765,11849.0380722892,50.71964562768511,55.7067496740656,54.8623634408527,41.58982376813704,73.950611722338,20.8022947929966,66.5816758949305,61.4924162859973,43.1479592059504,35.6335046974148,72.44159589963,68.2263939604156,41.92142715597846,22.8910948995559,75.2017402161015,26.3450328009124,32.4457593688363,834.37734903533,35.6153489417925,23.9463601532567,3.4276641449519,17.3205741626794,3.86753686246072,12.82,44.97,24.6172248803828,23.2296650717703,94.6411483253589,93.6602870813397,25.1910319926106,5.53801849698178,5.29590891036674,15.8877267311002,6.8,8.4,19.6,52.5,3.35,13.0,29.3059983246335,3.32258190736912,24.9935488451239,93.7843699999999,71.43,1.35365486814399,123.476896882562,18.3759842519685,5.29590891036674,2.59593227809591,3.00540429643623,0.0,52.82,0.2449111,8.0,6.0,99.236641221,64.0486725663717,4.0,30.4597701149425,0.0,0.868885220262403,0.570390732377774,0.623931554103123,0.0,88.6082959517085,38.9559797428905,40.3926435744105,52.4075875486381,486.518461538462,0.0
1500347,Água Azul do Norte,22.812986778249925,10.899783590986686,7.16203783992483,7.507519970779817,5.992255174586713,5.326643824910753,13.511805506683258,9.573799356184214,8.861104926233986,8.379741385413665,4.716818877506378,9.647286277004731,8.144704292636433,5.379933779723839,4.509801816774771,3.920848674190324,0.0,Água Azul do Norte (PA),PA,7113.955,18080,35831.1318362832,50.09179200232077,64.4169531284359,50.8743809458037,34.9840419327233,73.3050565929513,43.8970645116233,83.5735706762624,56.8921207329064,56.905639188005,39.017159627812,67.808337860778,39.7663871066198,25.656486920740164,24.8498184373858,67.8958151180823,21.5340472546849,80.8888888888889,928.157714861316,108.031598489307,18.2648401826484,3.96491228070175,23.1735601082335,66.6454622561493,28.49,11.11,63.2392732895246,79.3196752995748,79.4936219559335,95.9412446849633,23.696682464455,6.3121279902261,11.0619469026549,27.6548672566372,2.7,13.2,14.8,36.4,4.1,6.3,29.8334870543938,5.34924857100636,35.0572178452887,95.6267419354838,72.83,1.4825064241945,216.770722738355,22.3004222803137,11.0619469026549,2.82135643346439,74.7699815194451,81.858407079646,62.52,42.96417352,5.0,0.0,104.46311368,68.0041814088131,2.0,24.2009132420091,0.507434939933628,3.64218582696654,0.392088827203331,0.367304658431314,0.0,178.912213740458,109.349371241115,28.0043234745013,33.9888841385207,513.1825,0.0
1500404,Alenquer,39.58609468783461,18.50228795096495,27.54547076455116,21.87205329097503,14.860922875849145,17.813623987347817,16.44419843387538,15.111266676029052,16.201492289301278,27.399632841329154,22.1709490490592,19.87050487231991,32.85856856806053,31.824278418817464,28.975905340457,22.282468326393044,0.0,Alenquer (PA),PA,23645.452,69377,10822.6709413783,49.029494695143256,56.3040005029159,55.5663524538114,35.21813112870289,49.0830495680741,29.1801211029638,72.7968769757305,74.1559543648953,55.0964687226676,47.392102370506,67.2680320911634,52.5088066309087,19.25538253493087,23.8324196579979,78.8005037257357,18.9842185961469,39.3634840871022,2606.72591043736,187.485343791498,19.8863636363636,6.13481857645999,26.0473167916907,46.1997796973738,13.41,53.94,45.3664166185805,67.0917484131564,75.7703404500865,84.3739180611656,20.101849370142,0.0,17.2967986508497,8.64839932542485,4.5,6.7,10.9,40.8,3.95,13.7,58.4349112455312,4.07447731992226,47.9059854565521,91.6971757575756,71.72,1.38519202563963,372.346023219289,15.5390398086451,1.44139988757081,2.47389827149061,38.4523520941566,47.1337763235655,65.54,9.049387311,2.0,0.0,96.518607443,68.1899109792285,2.0,24.905303030303,0.19031551393113,5.46638175222382,0.0,0.707110824216892,0.0,5.93683210638803,3.70027752081406,21.8629013892052,31.1236152628803,505.657678571429,0.0
1500503,Almeirim,59.63075739307089,23.411570080265644,38.83360346660108,6.508212705796099,19.561711620241223,9.322665770182336,23.944149092685805,12.28530137952516,15.387166639096945,21.242052420541363,19.00700179748961,30.050927278954948,24.953881023177114,31.747954106760744,18.7072125625785,23.00852094973505,0.0,Almeirim (PA),PA,72954.798,34280,20227.3950116686,50.75539651967345,61.8965262649049,52.6908170471716,37.67884624694421,63.4425024228623,65.7197474100277,74.8383051578393,43.5855500688902,41.5337778193803,59.8039792068142,62.0337722943585,47.3917388681336,23.48180714824053,23.0106967008249,80.1294596523239,24.0934214863875,37.0988446726573,1307.13194689226,134.749098089897,19.2023633677991,4.25231445159266,63.5084033613445,24.3921055501036,82.25,21.19,43.2142857142857,64.7058823529412,86.1764705882353,85.8508403361344,73.6609491739451,6.01214453195455,5.8343057176196,40.8401400233372,7.3,18.4,16.6,55.4,3.95,12.1,67.6001651302264,10.1685773216054,84.4483849613528,93.1612272727272,73.55,2.0910141418588,360.449579276575,19.3222143364088,20.4200700116686,0.218639430749138,137.262559310213,84.8891481913652,53.44,3.224276206,2.0,3.0,91.009329941,69.2814199828228,3.0,28.5081240768095,0.440350276254376,2.02265372168285,0.158535626581079,0.750763861685838,0.0,24.0485781278182,30.9717382888114,35.8790363915941,41.8736692689851,500.158571428571,0.0
1500602,Altamira,339.5890443453626,389.36123833757193,194.01706159531875,250.09694919872197,228.99580705374595,296.8177128434137,294.4912337592155,308.3980218526179,409.0918136471977,224.1401867321948,430.2582870414416,575.4573793825688,798.4571543839829,765.6140157965682,625.965760496743,317.7628097108571,0.0,Altamira (PA),PA,159533.306,126279,24889.3054165776,44.95222460951063,54.2244620309077,51.8134541865037,28.81875761112083,68.6179230830458,52.2058100072072,81.4826674381406,14.5914475952373,66.9557595832051,63.4922120226741,55.8541437170698,20.9517014230657,14.781187189635489,43.0728145069853,32.2868559180158,25.1341728298468,64.9936735554618,649.505625639277,162.248858324907,15.7687253613666,4.63505237441853,50.8701379740692,50.0488134574947,42.09,26.97,78.7804201622409,83.6545794910906,66.7232891908757,89.7975455869098,151.062058760058,20.5251274926188,39.594865337863,78.3978333689687,0.8,10.0,10.0,32.1,5.1,6.7,85.916540056445,13.6479271474187,77.7452408633047,91.8599575757576,73.64,3.23040246018423,422.649332301474,23.5203598484848,10.2946649878444,4.01920335810976,307.584164019282,399.195432336335,63.1,5.451992031,0.0,0.0,97.925669836,71.4537666918619,5.0,19.0976784932107,6.46637413505017,1.01743200162789,0.398752703790833,0.648852894253303,23.5531628532974,983.627263684734,270.500038642863,32.9103062679048,40.2896245303201,530.224891518738,0.0
1500701,Anajás,0.0,1.0310907336080133,11.941339263673992,0.3075860969494914,0.092768330120163,0.0,0.0,0.1058727341383954,0.380087112140927,0.0,0.0,0.395301723091431,0.8974710073182937,0.9745698861319794,0.1335069895559468,0.1971112539912808,0.0,Anajás (PA),PA,6913.64,28011,9314.58519867195,44.68186031774528,46.5120562498533,51.8356426590857,35.69788204429732,74.1951722708526,14.8800918738718,39.8136718559544,57.1592889987343,45.7740118436117,29.2891854610278,64.7820848479145,67.4972884837889,22.369194142135463,21.3678708218546,81.4524412313003,17.6020219818988,66.0692951015532,701.206340766342,77.1153015039078,25.4129606099111,3.99043303121853,4.30074573500868,15.3617968005085,5.43,49.97,26.5502094187353,34.3548881397487,58.7700480130759,36.7351108386965,33.8256849701206,14.8115233651781,2.8560208489522,17.8501303059512,5.8,10.0,13.3,63.0,3.25,6.3,37.9407328312369,1.95992893567218,32.923929229351,52.4454625,71.43,1.59797589719688,368.788603126233,16.4464815314101,7.14005212238049,2.13268609908473,6.27204200783766,0.714005212238049,53.79,0.361158128,2.0,0.0,86.211901306,53.0805687203792,3.0,29.987293519695,0.19500888761558,2.1455959457314,0.37716870998364,0.651418604651164,0.0,5.92460934607124,12.4223602484472,27.4891597807412,33.5292084341514,459.021860465116,0.0
1500800,Ananindeua,0.0,0.0,0.0714658416163749,0.0,0.1015775349969786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ananindeua (PA),PA,190.581,478778,18808.4890262293,54.50027055916141,60.5585816442146,67.0284436097311,35.91378642353899,68.5642432250225,44.8907689491151,89.376622753816,39.402691648905,67.6418615430303,71.8011278799347,61.2057879796833,67.4649970362761,31.21565364272014,46.3524477120776,38.0753991088926,28.0116452304656,28.5502159827214,322.162802316759,140.897590722329,16.5578729501672,4.44681900378103,34.5140933208764,82.2295914262985,33.79,49.49,89.7027975109732,91.1852844224294,73.5091399460593,97.5541610111231,73.9759613352309,4.77186508346787,48.6655610742348,44.9059898324484,0.7,5.3,8.9,32.3,4.95,11.5,99.9993761886654,16.3035826504756,91.9876874773407,96.077796969697,74.24,2.26613655038745,464.811409591209,20.7528015305923,4.38616644875078,7.20091807302008,1.59337064988417,0.0,52.56,12.14928984,9.0,0.0,94.18957346,71.2919627896227,6.0,12.0203789205541,1.87589444690441,0.26193781596249,0.380777336822097,0.891481489594743,39.3700787401575,380.953895830185,177.318202180081,38.7130126052196,45.1812104679397,537.762808112324,0.0
